chromosome,probe_id_id,n_patients_with_probe
chr11,cg00080012,10979
chr11,cg00146096,10979
chr11,cg00554702,10978
chr11,cg00858899,10973
chr11,cg00901652,10978
chr11,cg00908551,10979
chr11,cg00953256,10979
chr11,cg01120308,10979
chr11,cg01442799,10979
chr11,cg01693350,10978
chr11,cg01800843,10977
chr11,cg01987509,2117
chr11,cg02166532,10979
chr11,cg02235880,10966
chr11,cg02300906,10978
chr11,cg02620470,10979
chr11,cg02659086,10979
chr11,cg02723533,10975
chr11,cg02807948,10979
chr11,cg02831393,10978
chr11,cg03143849,10978
chr11,cg03165700,10958
chr11,cg03293770,10961
chr11,cg03474731,10979
chr11,cg03699566,10979
chr11,cg03794550,10979
chr11,cg03805364,10978
chr11,cg03822011,10978
chr11,cg03922337,10979
chr11,cg03950669,10979
chr11,cg03961189,10979
chr11,cg04096767,10978
chr11,cg04112019,10978
chr11,cg04172043,10977
chr11,cg04280758,10979
chr11,cg04455759,10966
chr11,cg04456238,10979
chr11,cg04548378,10979
chr11,cg04628008,10979
chr11,cg04717045,10979
chr11,cg04910299,10979
chr11,cg04920951,10978
chr11,cg04964702,10977
chr11,cg05111110,10979
chr11,cg05164185,10955
chr11,cg05200606,10979
chr11,cg05222924,10979
chr11,cg05244766,10978
chr11,cg05492845,10978
chr11,cg05559445,10979
chr11,cg06023257,10979
chr11,cg06236748,10954
chr11,cg06516124,10979
chr11,cg06539449,10979
chr11,cg06607866,10978
chr11,cg06806711,10978
chr11,cg06921282,10979
chr11,cg06980460,10978
chr11,cg07060572,10979
chr11,cg07271264,10978
chr11,cg07339327,2117
chr11,cg07484827,10978
chr11,cg08141873,10979
chr11,cg08170622,10978
chr11,cg08258650,10978
chr11,cg08440425,2117
chr11,cg09017174,10979
chr11,cg09038676,10876
chr11,cg09637363,10978
chr11,cg10501065,10969
chr11,cg10539418,10979
chr11,cg10694914,10979
chr11,cg10821722,10978
chr11,cg11005826,10978
chr11,cg11102794,10978
chr11,cg11341028,10928
chr11,cg11387131,10977
chr11,cg11507178,10967
chr11,cg11566244,10971
chr11,cg11665588,10972
chr11,cg11802013,10976
chr11,cg11822932,10979
chr11,cg11861730,10963
chr11,cg12006284,10979
chr11,cg12082129,10978
chr11,cg12266049,10977
chr11,cg12322132,10977
chr11,cg12781568,10978
chr11,cg13216057,10979
